"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30505","test_18_error_alert_incorrect_email_and_password[chromium]","tests","Wed Jul 30 23:27:51 GMT 2025","broken","Wed Jul 30 23:28:21 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","8935","test_28_adding_a_product_to_the_shopping_cart[chromium]","tests","Wed Jul 30 23:23:16 GMT 2025","passed","Wed Jul 30 23:23:25 GMT 2025","TestCart","test_cart","",""
"","0","test_23_remember_email[chromium]","tests","Wed Jul 30 23:30:39 GMT 2025","broken","Wed Jul 30 23:30:39 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","5605","test_01_open_home_page[chromium]","tests","Wed Jul 30 23:24:43 GMT 2025","passed","Wed Jul 30 23:24:48 GMT 2025","TestHomePage","test_homepage","",""
"","30505","test_13_registration_numbers_in_name[chromium]","tests","Wed Jul 30 23:21:15 GMT 2025","broken","Wed Jul 30 23:21:46 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30505","test_03_saving_data_after_exit[chromium]","tests","Wed Jul 30 23:25:27 GMT 2025","broken","Wed Jul 30 23:25:57 GMT 2025","TestHomePage","test_homepage","",""
"","30505","test_19_change_language_button_in_login[chromium]","tests","Wed Jul 30 23:28:25 GMT 2025","broken","Wed Jul 30 23:28:56 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","8109","test_32_number_of_products_in_favorites[chromium]","tests","Wed Jul 30 23:24:34 GMT 2025","passed","Wed Jul 30 23:24:42 GMT 2025","TestFavourites","test_favourites","",""
"","8364","test_26_remove_items_in_cart[chromium]","tests","Wed Jul 30 23:22:48 GMT 2025","passed","Wed Jul 30 23:22:56 GMT 2025","TestCart","test_cart","",""
"","7338","test_25_amount_of_items_cart_visibility[chromium]","tests","Wed Jul 30 23:22:37 GMT 2025","passed","Wed Jul 30 23:22:44 GMT 2025","TestCart","test_cart","",""
"","30506","test_11_registration_with_invalid_email[chromium]","tests","Wed Jul 30 23:20:05 GMT 2025","broken","Wed Jul 30 23:20:36 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","2257","test_04_clicking_on_the_main_logo_to_connect_the_home_page[chromium]","tests","Wed Jul 30 23:26:01 GMT 2025","passed","Wed Jul 30 23:26:03 GMT 2025","TestHomePage","test_homepage","",""
"","30504","test_16_error_alert_incorrect_password[chromium]","tests","Wed Jul 30 23:26:41 GMT 2025","broken","Wed Jul 30 23:27:12 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30505","test_20_show_button[chromium]","tests","Wed Jul 30 23:29:00 GMT 2025","broken","Wed Jul 30 23:29:30 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
